onset	duration	trial	condition
4.055	4.802	1	2
11.179	4.802	2	2
18.741	4.802	3	2
26.255	4.802	4	2
33.348	4.802	5	2
40.127	4.802	6	2
61.376	4.802	7	1
68.264	4.802	8	1
75.094	4.802	9	1
82.71	4.802	10	1
89.514	4.802	11	1
96.981	4.802	12	1
118.091	4.802	13	2
125.512	4.802	14	2
132.534	4.802	15	2
139.248	4.802	16	2
146.602	4.802	17	2
153.243	4.802	18	2
173.923	4.802	19	1
180.673	4.802	20	1
187.823	4.802	21	1
195.253	4.802	22	1
202.211	4.802	23	1
209.39	4.802	24	1
230.609	4.802	25	2
237.44	4.802	26	2
244.988	4.802	27	2
251.957	4.802	28	2
259.523	4.802	29	2
266.584	4.802	30	2
287.77	4.802	31	1
295.109	4.802	32	1
301.833	4.801	33	1
308.735	4.802	34	1
315.408	4.802	35	1
322.07	4.802	36	1
342.8	4.802	37	2
349.926	4.802	38	2
356.752	4.802	39	2
363.542	4.802	40	2
370.403	4.802	41	2
377.327	4.802	42	2
398.015	4.802	43	1
405.509	4.802	44	1
412.258	4.802	45	1
419.552	4.802	46	1
427.014	4.802	47	1
434.021	4.802	48	1
454.992	4.802	49	2
461.905	4.802	50	2
469.127	4.802	51	2
476.419	4.802	52	2
483.243	4.802	53	2
490.009	4.802	54	2
510.997	4.802	55	1
517.655	4.802	56	1
525.061	4.802	57	1
532.406	4.802	58	1
539.317	4.802	59	1
546.034	4.802	60	1
567.238	4.802	61	2
574.731	4.802	62	2
582.242	4.802	63	2
589.585	4.802	64	2
596.455	4.802	65	2
603.44	4.802	66	2
624.619	4.802	67	1
632.004	4.802	68	1
639.001	4.802	69	1
646.11	4.802	70	1
653.703	4.802	71	1
660.638	4.802	72	1
