onset	duration	trial	condition
4.092	4.802	1	1
10.863	4.803	2	1
17.76	4.802	3	1
25.114	4.802	4	1
32.393	4.802	5	1
39.84	4.802	6	1
61.303	4.802	7	2
68.587	4.802	8	2
76.205	4.802	9	2
83.387	4.802	10	2
90.487	4.802	11	2
97.23	4.802	12	2
118.277	4.802	13	1
125.145	4.801	14	1
132.513	4.803	15	1
139.529	4.802	16	1
147.145	4.802	17	1
153.967	4.802	18	1
175.071	4.802	19	2
181.928	4.802	20	2
189.07	4.802	21	2
196.666	4.802	22	2
203.893	4.802	23	2
210.541	4.802	24	2
232.183	4.802	25	1
239.146	4.802	26	1
246.369	4.802	27	1
253.003	4.802	28	1
260.313	4.802	29	1
267.368	4.801	30	1
288.472	4.802	31	2
295.802	4.802	32	2
303.274	4.802	33	2
310.505	4.802	34	2
317.257	4.802	35	2
324.242	4.802	36	2
345.206	4.802	37	1
352.335	4.802	38	1
359.62	4.802	39	1
366.946	4.803	40	1
374.236	4.802	41	1
381.652	4.802	42	1
403.176	4.802	43	2
410.21	4.802	44	2
417.663	4.802	45	2
424.396	4.802	46	2
431.165	4.802	47	2
438.217	4.802	48	2
459.744	4.802	49	1
467.295	4.802	50	1
474.509	4.802	51	1
481.241	4.803	52	1
488.691	4.802	53	1
495.627	4.802	54	1
516.695	4.802	55	2
523.584	4.802	56	2
531.031	4.802	57	2
537.884	4.802	58	2
545.068	4.802	59	2
552.679	4.802	60	2
574.073	4.802	61	1
581.344	4.802	62	1
588.493	4.802	63	1
595.17	4.802	64	1
602.273	4.802	65	1
609.789	4.802	66	1
630.596	4.802	67	2
637.416	4.802	68	2
644.216	4.802	69	2
651.838	4.802	70	2
658.478	4.802	71	2
665.61	4.802	72	2
