onset	duration	trial	condition
4.073	4.802	1	1
11.245	4.802	2	1
18.777	4.802	3	1
26.116	4.802	4	1
33.668	4.803	5	1
41.125	4.802	6	1
61.946	4.802	7	2
68.684	4.802	8	2
75.615	4.802	9	2
82.73	4.802	10	2
90.312	4.802	11	2
97.464	4.802	12	2
119.111	4.803	13	1
126.31	4.802	14	1
133.607	4.802	15	1
140.706	4.802	16	1
147.855	4.802	17	1
154.502	4.802	18	1
175.991	4.802	19	2
182.858	4.802	20	2
190.394	4.802	21	2
197.452	4.802	22	2
205.036	4.802	23	2
212.237	4.802	24	2
233.348	4.802	25	1
240.138	4.801	26	1
247.046	4.802	27	1
254.375	4.802	28	1
261.497	4.802	29	1
269.075	4.802	30	1
290.563	4.802	31	2
297.754	4.802	32	2
304.635	4.802	33	2
311.667	4.802	34	2
318.934	4.802	35	2
325.73	4.802	36	2
346.565	4.802	37	1
353.208	4.802	38	1
360.53	4.802	39	1
367.728	4.802	40	1
374.631	4.802	41	1
381.359	4.802	42	1
402.832	4.802	43	2
410.243	4.802	44	2
417.097	4.802	45	2
424.41	4.802	46	2
431.484	4.802	47	2
438.672	4.802	48	2
460.109	4.802	49	1
467.233	4.802	50	1
474.579	4.802	51	1
481.728	4.802	52	1
489.103	4.802	53	1
495.809	4.802	54	1
517.389	4.802	55	2
524.275	4.802	56	2
531.52	4.802	57	2
538.532	4.802	58	2
545.881	4.802	59	2
553.43	4.802	60	2
574.664	4.802	61	1
582.074	4.802	62	1
589.595	4.802	63	1
596.578	4.802	64	1
603.958	4.802	65	1
611.547	4.802	66	1
632.224	4.802	67	2
639.814	4.802	68	2
647.381	4.802	69	2
654.176	4.802	70	2
661.743	4.802	71	2
669.268	4.802	72	2
