onset	duration	trial	condition
4.134	4.802	1	2
11.582	4.802	2	2
18.549	4.802	3	2
25.654	4.803	4	2
32.844	4.802	5	2
40.256	4.802	6	2
61.578	4.802	7	1
68.785	4.802	8	1
76.408	4.802	9	1
83.711	4.802	10	1
91.242	4.802	11	1
97.921	4.802	12	1
119.141	4.802	13	2
125.982	4.802	14	2
132.674	4.803	15	2
139.659	4.802	16	2
146.341	4.802	17	2
153.842	4.802	18	2
175.193	4.802	19	1
182.461	4.802	20	1
189.299	4.802	21	1
196.285	4.802	22	1
203.487	4.802	23	1
210.517	4.802	24	1
231.845	4.802	25	2
239.473	4.802	26	2
246.693	4.802	27	2
253.899	4.802	28	2
261.045	4.802	29	2
267.689	4.802	30	2
289.258	4.802	31	1
296.293	4.802	32	1
303.025	4.802	33	1
310.388	4.802	34	1
317.632	4.802	35	1
324.724	4.802	36	1
345.864	4.802	37	2
353.162	4.802	38	2
359.979	4.802	39	2
367.384	4.802	40	2
374.88	4.802	41	2
382.203	4.802	42	2
403.283	4.802	43	1
410.889	4.802	44	1
418.117	4.802	45	1
425.353	4.802	46	1
432.545	4.802	47	1
439.897	4.802	48	1
460.947	4.802	49	2
467.854	4.802	50	2
475.326	4.802	51	2
482.85	4.803	52	2
490.195	4.802	53	2
497.253	4.802	54	2
518.407	4.802	55	1
525.708	4.802	56	1
532.64	4.802	57	1
539.279	4.802	58	1
546.721	4.802	59	1
553.933	4.802	60	1
575.579	4.802	61	2
583.141	4.802	62	2
590.188	4.802	63	2
596.939	4.802	64	2
603.694	4.802	65	2
611.057	4.802	66	2
631.789	4.802	67	1
638.538	4.802	68	1
645.438	4.802	69	1
652.545	4.802	70	1
659.578	4.802	71	1
667.153	4.802	72	1
