onset	duration	trial	condition
4.082	4.802	1	1
10.995	4.802	2	1
18.597	4.803	3	1
25.646	4.802	4	1
32.494	4.802	5	1
39.125	4.802	6	1
59.865	4.802	7	2
66.785	4.802	8	2
73.51	4.802	9	2
80.136	4.802	10	2
86.778	4.802	11	2
94.316	4.802	12	2
115.011	4.802	13	1
122.057	4.802	14	1
128.699	4.802	15	1
135.665	4.802	16	1
143.2	4.802	17	1
150.446	4.802	18	1
171.705	4.802	19	2
179.017	4.802	20	2
185.954	4.802	21	2
193.502	4.802	22	2
200.324	4.802	23	2
207.598	4.802	24	2
228.255	4.802	25	1
235.458	4.802	26	1
242.648	4.802	27	1
249.277	4.802	28	1
256.131	4.802	29	1
263.087	4.802	30	1
284.04	4.802	31	2
290.819	4.802	32	2
297.983	4.802	33	2
305.382	4.802	34	2
312.768	4.802	35	2
320.316	4.802	36	2
341.154	4.802	37	1
347.918	4.802	38	1
355.293	4.802	39	1
362.826	4.802	40	1
370.393	4.802	41	1
377.219	4.802	42	1
398.435	4.802	43	2
405.582	4.802	44	2
412.607	4.802	45	2
420.198	4.802	46	2
427.041	4.802	47	2
434.424	4.802	48	2
455.575	4.802	49	1
462.677	4.802	50	1
469.333	4.802	51	1
476.648	4.802	52	1
484.031	4.802	53	1
491.377	4.802	54	1
512.583	4.802	55	2
519.407	4.802	56	2
526.123	4.802	57	2
533.414	4.802	58	2
540.971	4.802	59	2
548.2	4.802	60	2
569.762	4.802	61	1
576.404	4.802	62	1
583.723	4.802	63	1
590.94	4.802	64	1
597.966	4.802	65	1
604.793	4.802	66	1
626.32	4.803	67	2
633.171	4.802	68	2
640.732	4.802	69	2
647.733	4.802	70	2
655.296	4.802	71	2
661.946	4.802	72	2
