onset	duration	trial	condition
4.125	4.802	1	2
11.009	4.802	2	2
18.396	4.802	3	2
25.543	4.802	4	2
32.349	4.802	5	2
39.024	4.802	6	2
60.261	4.802	7	1
67.376	4.802	8	1
74.612	4.802	9	1
81.743	4.802	10	1
89.328	4.802	11	1
96.166	4.802	12	1
117.633	4.802	13	2
124.943	4.802	14	2
131.878	4.802	15	2
139.1	4.802	16	2
146.335	4.802	17	2
153.549	4.802	18	2
174.604	4.802	19	1
182.072	4.802	20	1
189.026	4.802	21	1
196.619	4.802	22	1
204.138	4.802	23	1
210.933	4.802	24	1
232.217	4.802	25	2
239.487	4.802	26	2
246.312	4.802	27	2
253.668	4.802	28	2
260.836	4.802	29	2
268.21	4.802	30	2
289.172	4.802	31	1
296.624	4.802	32	1
303.398	4.802	33	1
310.734	4.803	34	1
318.291	4.802	35	1
325.664	4.802	36	1
347.264	4.802	37	2
354.5	4.802	38	2
361.367	4.802	39	2
368.584	4.802	40	2
376.037	4.802	41	2
383.394	4.802	42	2
404.5	4.802	43	1
411.984	4.802	44	1
419.323	4.802	45	1
426.356	4.802	46	1
433.501	4.802	47	1
440.136	4.802	48	1
460.859	4.802	49	2
468.072	4.802	50	2
474.797	4.802	51	2
481.519	4.802	52	2
488.676	4.802	53	2
496.043	4.802	54	2
517.45	4.802	55	1
524.509	4.802	56	1
531.238	4.802	57	1
538.412	4.802	58	1
545.638	4.802	59	1
552.43	4.802	60	1
573.168	4.802	61	2
580.116	4.802	62	2
587.192	4.802	63	2
594.666	4.802	64	2
601.503	4.802	65	2
608.436	4.802	66	2
629.544	4.802	67	1
636.42	4.802	68	1
643.184	4.802	69	1
650.499	4.802	70	1
657.983	4.802	71	1
665.504	4.802	72	1
