onset	duration	trial	condition
4.069	4.802	1	1
10.723	4.802	2	1
17.893	4.802	3	1
25.19	4.802	4	1
32.728	4.802	5	1
39.546	4.802	6	1
60.324	4.802	7	2
67.362	4.802	8	2
74.119	4.802	9	2
81.339	4.802	10	2
88.827	4.802	11	2
96.121	4.802	12	2
117.784	4.802	13	1
124.52	4.802	14	1
132.005	4.802	15	1
139.256	4.802	16	1
146.037	4.802	17	1
152.974	4.802	18	1
174.173	4.802	19	2
180.873	4.802	20	2
187.861	4.802	21	2
194.831	4.802	22	2
201.633	4.802	23	2
209.239	4.802	24	2
230.31	4.802	25	1
237.884	4.802	26	1
244.655	4.802	27	1
252.097	4.802	28	1
259.695	4.802	29	1
266.764	4.802	30	1
287.897	4.802	31	2
294.765	4.802	32	2
302.103	4.802	33	2
308.794	4.802	34	2
315.924	4.802	35	2
323.344	4.802	36	2
344.301	4.802	37	1
351.863	4.802	38	1
358.967	4.802	39	1
365.775	4.802	40	1
372.941	4.802	41	1
379.707	4.802	42	1
400.6	4.802	43	2
408.228	4.802	44	2
415.738	4.802	45	2
422.605	4.802	46	2
429.479	4.802	47	2
436.407	4.802	48	2
457.174	4.802	49	1
464.572	4.802	50	1
471.832	4.802	51	1
479.16	4.802	52	1
486.343	4.802	53	1
493.276	4.802	54	1
514.055	4.802	55	2
521.584	4.802	56	2
528.303	4.802	57	2
535.859	4.802	58	2
543.074	4.802	59	2
550.471	4.802	60	2
571.83	4.802	61	1
578.78	4.802	62	1
585.451	4.802	63	1
592.855	4.802	64	1
600.024	4.802	65	1
606.747	4.802	66	1
627.9	4.802	67	2
635.462	4.802	68	2
642.551	4.802	69	2
649.309	4.802	70	2
656.589	4.802	71	2
663.692	4.802	72	2
